title,img_url,release_year,genre,desc,Spoiler,Private Notes,rating,runtime
The Lion King,https://i.scdn.co/image/ab67616d0000b27359235d40e20d96dd8c40ffd2,1994,"Comedy, Adventure, Drama, Fantasy","Critics and audiences might be tepid on the recent live-action remake of “The Lion King,” but pretty much everyone loved the animated original. Set in the Pride Lands of Africa, it takes animal interplay to Shakespearean heights. The award-winning songs and score represent some of the best music ever committed to celluloid.",,,8.5,88
The shawshank Redemption ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFoKY16B0IwftpkGxJeXkofYkEXmZnFhb352vhAuF419NCb6dCao-ErhqVNqjhemVo_Vc&usqp=CAU,1994,"Drama, Crime Fiction","Even decades after its release, “The Shawshank Redemption” still holds the #2 spot on IMDb's list of Highest Rated Titles. Here on Stacker's list, it doesn't necessarily fare as well, but that's not to say the film is anything short of spectacular. Based on a novella by Stephen King, it tells the story of Andy Dufresne (Tim Robbins), a banker convicted of his wife's murder who grapples with decades of prison life starting in the mid-1940s. Helping him cope is a fellow inmate named Red (Morgan Freeman).",,,9.3,142
The Marriage Story,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmjxRgK7Yy-NxkqA5VCn5FkAPQoDYbOpuzXeaFqMVnA0GTdm-KX_SSsViJs6qR-PWdR5M&usqp=CAU,2019,"Romance, Comedy, Drama","Laura Dern took home an Oscar for her role in this acclaimed Netflix drama, which chronicles the divorce between two show-business professionals (Adam Driver and Scarlett Johansson). Despite his own divorce from actress Jennifer Jason Leigh, director Noah Baumbach attests that the film isn’t autobiographical. Nevertheless, its most harrowing scenes feel like they’re ripped straight out of real life.",,,8.1,137
The Irishman,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRfasD2cMz9nOtSc7qkuLW38tzktFYMpJU1qRLLuQoQt_lAg0lnAkO11L0ZKNbRWSG0tcA&usqp=CAU,2019,"Mafia, Drama, ","Scorsese’s sprawling saga finds the director confronting themes of mortality and regret. In stark contrast to works like “Goodfellas” or “Casino,” it eschews over-stylization in favor of a meditative and occasionally depressing tone. Audiences are still divided as to whether the film’s expensive de-aging techniques worked to its benefit or detriment.",,,8,209
The Lord of the Rings,https://d2j6dbq0eux0bg.cloudfront.net/images/5904137/1683004401.jpg,2002,"Adventure, Fantasy","Next to the “Star Wars” saga, Peter Jackson's “Lord of the Rings” trilogy (and the subsequent “Hobbit” prequels) endures as one of the most celebrated franchises of all time. In this 2002 installment, Frodo and Sam continue their journey to Mordor, in hopes of destroying an all-powerful ring. Joining them for the trip is a shifty creature named Gollum, who has plans of his own.",,,8.7,179
The Dark Knight,https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_.jpg,2008,"Action, War, Science fiction, Adventure","More than just the gold standard of comic book adaptations, ""The Dark Knight"" holds the #4 spot on the list of IMDb's Highest Rated Titles. As the second film in Christopher Nolan's heralded ""Dark Knight"" trilogy, it sees Christian Bale returning as the caped crusader and squaring off against Heath Ledger's Joker. According to legend, Ledger drew inspiration from bands like The Sex Pistols and movies like ""A Clockwork Orange"" while preparing for the role.",,,9,152
Beauty and the Beast,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTik_PZ3xHkX6zwURls7y-oQFePLy83IVt3zQ&usqp=CAU,1991," Adventure, Drama, Fantasy","The live-action remake of “Beauty and the Beast” might have raked in a large sum at the box office, but it's the 1991 animated version that holds up as a bona fide work of art. Released by Disney amid a major comeback, the film tells a tale as old as time. It's about a young prince who's doomed to exist as a beast unless he can earn the love of his captive and thereby reverse the spell. It's a charming movie, provided one doesn't think too hard about the somewhat disturbing implications.",,,8,84
Inside Out,"https://img.etimg.com/thumb/msid-47825455,width-1200,height-900,imgsize-253671,overlay-etpanache/photo.jpg",2015,"Comedy, Adventure, Drama, Fantasy","Representing yet another home run from Pixar, this 2015 animated feature primarily takes place within the mind of a young girl named Riley. After Riley's family moves to a new city, she suffers a range of emotions, each personified by a specific character. As Riley seeks mental balance in her new surroundings, her emotions embark on a harrowing journey of epic proportion. Featured in the film are the voices of comedic talents like Amy Poehler, Bill Hader, Mindy Kaling, and Lewis Black.",,,8.2,95
Ratatouille,https://lumiere-a.akamaihd.net/v1/images/p_ratatouille_19736_0814231f.jpeg?region=0%2C0%2C540%2C810,2007,"Comedy, Adventure, Drama, Fantasy","In this animated flick from Pixar, an epicurean rat named Remy ends up inside the kitchen of a once-famous French restaurant, where he puts his culinary skills to work. Rather than risk exposure, Remy hides inside the hat of a bumbling kitchen employee named Alfredo Linguini and controls Linguini's movements by pulling on his hair. Thanks to their teamwork, the French restaurant re-attains its status as a veritable dining destination. But will Remy and Linguini's cuisine impress the harshest critic in France? Watch to find out.",,,8,111
Star Wars: Episode IV - A new Hope,https://www.normanrecords.com/artwork/large/14/159514-john-williams-star-wars-episode-iv-a.jpg,1977,"Action, Science fiction, adventure, fantasy","The biggest franchise in cinematic history started with this groundbreaking space epic, which introduced audiences to Luke Skywalker, Princess Leia, Han Solo, Obi-Wan Kenobi, and Darth Vader. Inspired by everything from Kubrick's “2001: A Space Odyssey” to the works of philosopher Joseph Campbell, George Lucas unleashed a fully realized world and one that's still unfolding by way of new installments. Ultimately, this is a franchise so impactful that there might one day be an actual Millennium Falcon flying through space, if only because some genius “Star Wars” fan made it happen.",,,8.6,121
Saving Private Ryan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4ko71kHCAP1eyESQmn9ZfQ6sbx_-PX1b4fSP8rGR3swVEWdkrMkEKnpgdaAnfPrCBhY4&usqp=CAU,1998,"War, Action, Drama","Featuring one of the most memorable battle scenes in movie history, “Saving Private Ryan” follows Capt. Miller (Tom Hanks) and his squad as they track down a paratrooper named Private Ryan (Matt Damon) before Ryan's mother loses her last son to World War II. Director Steven Spielberg decided to helm the film as a tribute to his own father, who served in the U.S. Army and Signal Corps during WWII. The movie won five Academy Awards, including Best Director.",,,8.6,169
Toy Story,https://lumiere-a.akamaihd.net/v1/images/p_toystory_19639_424d94a0.jpeg,1995,"Comedy, Adventure, Fantasy","If the current era of computer animation kicked off with a single film, that film is 1995's “Toy Story,” about a bunch of toys who spring to life when their owners aren't looking. Firing on every cylinder, the movie immediately made Woody and Buzz Lightyear two household names. The film also made Pixar a veritable force to be reckoned with.",,,8.3,81
Harry Potter and The Sorcerer's Stone,https://images.moviesanywhere.com/54e4356f686ba20ee680e14fb2395034/54cce72e-d982-4e76-8551-0e88bc63fd5d.jpg,2001,"Adventure, Fantasy","Adaptation of the first of J.K. Rowling's popular children's novels about Harry Potter, a boy who learns on his eleventh birthday that he is the orphaned son of two powerful wizards and possesses unique magical powers of his own. He is summoned from his life as an unwanted child to become a student at Hogwarts, an English boarding school for wizards. There, he meets several friends who become his closest allies and help him discover the truth about his parents' mysterious deaths.",,,7.6,152
The Wizard of Oz,https://images-na.ssl-images-amazon.com/images/I/91ALnLQeVcL._RI_.jpg,1939,"Musical, Fantasy, Adventure","Essential viewing among children of all ages, this 1939 film tells the story of Dorothy (Judy Garland), a farm girl who gets knocked out during a tornado and wakes up in the magical world of Oz. With the help of a lion, a scarecrow, and a tin man, Dorothy and her dog Toto search for the wonderful wizard in the hope he can send her home. Along the way, she famously incurs the wrath of a wicked witch.",,,8,102
The Godfather,https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,1974,"Mafia, Drama, ","Continuing “The Godfather” saga to rapturous acclaim (and six Academy Awards), this 1974 sequel finds Michael Corleone (Al Pacino) squaring off against a sea of troubles while trying to expand and legitimize his empire. Also depicted is a young Vito Corleone (Robert De Niro), who journeys to the United States from Italy in the early 1900s and ascends to power after murdering the local don. After De Niro won an Academy Award for his performance, he and Marlon Brando became the only two actors in history to win an Oscar for their portrayal of the same character.",,,9,202
Spider-Man,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/055887db-aca4-4fbb-9e61-dd3b31cf3667/d7xsczc-7ac10792-55bc-40f0-9392-e76ca4e258f7.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7InBhdGgiOiJcL2ZcLzA1NTg4N2RiLWFjYTQtNGZiYi05ZTYxLWRkM2IzMWNmMzY2N1wvZDd4c2N6Yy03YWMxMDc5Mi01NWJjLTQwZjAtOTM5Mi1lNzZjYTRlMjU4ZjcuanBnIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmZpbGUuZG93bmxvYWQiXX0.uUmhyPhlTXGunW7SADKrZHK6EIdOoMkm1DNWUcgGWls,2002,https://m.media-amazon.com/images/I/41Vxs2tSNHL._AC_.jpg,"""Spider-Man"" centers on student Peter Parker (Tobey Maguire) who, after being bitten by a genetically-altered spider, gains superhuman strength and the spider-like ability to cling to any surface. He vows to use his abilities to fight crime, coming to understand the words of his beloved Uncle Ben: ""With great power comes great responsibility.""",,,7.3,121
Iron-Man,https://m.media-amazon.com/images/I/41Vxs2tSNHL._AC_.jpg,2008,"Action, War, Science fiction, Adventure","A billionaire industrialist and genius inventor, Tony Stark (Robert Downey Jr.), is conducting weapons tests overseas, but terrorists kidnap him to force him to build a devastating weapon. Instead, he builds an armored suit and upends his captors. Returning to America, Stark refines the suit and uses it to combat crime and terrorism.",,,7.9,126
